date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-05-12,000001,1824.24,1804.24,1836.74,1795.48,558511,772109504.0,2.25,-1.43,-26.25,0.29
2020-05-13,000001,1799.23,1784.23,1802.99,1771.73,640359,871062048.0,1.73,-1.11,-20.01,0.33
2020-05-14,000001,1774.23,1742.98,1779.23,1732.97,944672,1259440848.0,2.59,-2.31,-41.25,0.49
2020-05-15,000001,1754.23,1734.22,1759.23,1722.97,756794,1004313264.0,2.08,-0.5,-8.76,0.39
2020-05-18,000001,1730.47,1730.47,1747.98,1720.47,637209,843479664.0,1.59,-0.22,-3.75,0.33
2020-05-19,000001,1756.73,1750.48,1761.73,1739.22,600369,801755664.0,1.3,1.16,20.01,0.31
2020-05-20,000001,1752.98,1769.23,1782.98,1739.22,690851,929928880.0,2.5,1.07,18.75,0.36
2020-05-21,000001,1770.48,1755.48,1776.73,1750.48,552312,742797056.0,1.48,-0.78,-13.75,0.28
2020-05-22,000001,1746.73,1695.47,1747.98,1695.47,856237,1119433488.0,2.99,-3.42,-60.01,0.44
2020-05-25,000001,1701.72,1700.47,1702.97,1675.46,410171,528769360.0,1.62,0.29,5.0,0.21
2020-05-26,000001,1707.97,1710.47,1714.22,1697.97,396212,515451856.0,0.96,0.59,10.0,0.2
2020-05-27,000001,1711.72,1705.47,1729.22,1700.47,482963,630305872.0,1.68,-0.29,-5.0,0.25
2020-05-28,000001,1716.47,1741.48,1755.23,1708.97,960760,1255226992.0,2.71,2.11,36.01,0.5
2020-05-29,000001,1733.97,1732.72,1737.72,1722.72,457808,594502128.0,0.86,-0.5,-8.76,0.24
2020-06-01,000001,1745.23,1772.73,1781.48,1742.73,882961,1173619008.0,2.24,2.31,40.01,0.46
2020-06-02,000001,1768.98,1801.49,1811.49,1767.73,883459,1194375824.0,2.47,1.62,28.76,0.46
2020-06-03,000001,1812.74,1800.24,1842.74,1795.23,956803,1308782288.0,2.64,-0.07,-1.25,0.49
2020-06-04,000001,1798.98,1803.99,1812.74,1783.98,583066,788707632.0,1.6,0.21,3.75,0.3
2020-06-05,000001,1807.74,1806.49,1810.24,1786.48,383027,517232128.0,1.32,0.14,2.5,0.2
2020-06-08,000001,1817.74,1810.24,1838.99,1805.24,585972,802115792.0,1.87,0.21,3.75,0.3
2020-06-09,000001,1812.74,1816.49,1823.99,1798.98,474300,646895840.0,1.38,0.35,6.25,0.24
2020-06-10,000001,1821.49,1793.98,1821.49,1782.73,580476,781995744.0,2.13,-1.24,-22.51,0.3
2020-06-11,000001,1780.23,1742.73,1781.48,1732.72,1349040,1774199984.0,2.72,-2.86,-51.25,0.7
2020-06-12,000001,1720.22,1731.47,1735.22,1716.47,1030551,1331618736.0,1.08,-0.65,-11.26,0.53
2020-06-15,000001,1713.97,1710.22,1728.97,1707.72,660313,850767504.0,1.23,-1.23,-21.25,0.34
2020-06-16,000001,1720.22,1718.97,1731.47,1715.22,718059,927043680.0,0.95,0.51,8.75,0.37
2020-06-17,000001,1718.97,1713.97,1722.72,1702.72,716468,918251152.0,1.16,-0.29,-5.0,0.37
2020-06-18,000001,1702.72,1702.72,1707.72,1681.46,1119648,1419972016.0,1.53,-0.66,-11.25,0.58
2020-06-19,000001,1698.97,1707.72,1712.72,1683.97,1539522,1954584912.0,1.69,0.29,5.0,0.79
2020-06-22,000001,1700.22,1687.72,1702.72,1685.22,1319080,1671023280.0,1.02,-1.17,-20.0,0.68
2020-06-23,000001,1688.97,1682.72,1693.97,1672.71,990807,1248046640.0,1.26,-0.3,-5.0,0.51
2020-06-24,000001,1687.72,1707.72,1717.72,1682.72,1523220,1946329088.0,2.08,1.49,25.0,0.78
2020-06-29,000001,1722.72,1707.72,1728.97,1696.47,1038480,1330678288.0,1.9,0.0,0.0,0.54
2020-06-30,000001,1711.47,1707.72,1717.72,1697.72,937940,1199181600.0,1.17,0.0,0.0,0.48
2020-07-01,000001,1706.47,1747.73,1751.48,1700.22,1697390,2202800848.0,3.0,2.34,40.01,0.87
2020-07-02,000001,1742.73,1786.48,1793.98,1728.97,2590501,3433511088.0,3.72,2.22,38.75,1.33
2020-07-03,000001,1803.99,1889.0,1897.75,1802.74,3768334,5280918016.0,5.32,5.74,102.52,1.94
2020-07-06,000001,1932.76,2067.78,2067.78,1931.51,4711461,7168653312.0,7.21,9.46,178.78,2.43
2020-07-07,000001,2145.29,2042.78,2186.55,1986.52,3964428,6267919616.0,9.67,-1.21,-25.0,2.04
2020-07-08,000001,2011.52,2077.78,2107.79,2011.52,2631339,4095447760.0,4.71,1.71,35.0,1.36
2020-07-09,000001,2065.28,2049.03,2065.28,2021.52,2243994,3469517328.0,2.11,-1.38,-28.75,1.16
2020-07-10,000001,2026.52,1965.26,2042.78,1952.76,2158773,3254272384.0,4.39,-4.09,-83.77,1.11
2020-07-13,000001,1945.26,1969.01,1992.77,1920.26,1937160,2871414848.0,3.69,0.19,3.75,1.0
2020-07-14,000001,1970.26,1942.76,2006.52,1926.51,1953566,2891773824.0,4.06,-1.33,-26.25,1.01
2020-07-15,000001,1955.26,1891.5,1965.26,1886.5,2042563,2947173152.0,4.05,-2.64,-51.26,1.05
2020-07-16,000001,1895.25,1876.5,1926.51,1872.75,1930891,2771496384.0,2.84,-0.79,-15.0,1.0
2020-07-17,000001,1879.0,1875.25,1892.75,1851.49,1291347,1821043920.0,2.2,-0.07,-1.25,0.67
2020-07-20,000001,1886.5,1949.01,1954.01,1870.25,1979632,2872758064.0,4.47,3.93,73.76,1.02
2020-07-21,000001,1942.76,1919.01,1942.76,1907.75,1252866,1815570304.0,1.8,-1.54,-30.0,0.65
2020-07-22,000001,1919.01,1909.0,1939.01,1891.5,1312952,1895447232.0,2.48,-0.52,-10.01,0.68
2020-07-23,000001,1887.75,1859.0,1894.0,1833.99,2027526,2838535216.0,3.14,-2.62,-50.0,1.04
2020-07-24,000001,1853.99,1795.23,1856.49,1785.23,1830882,2504647104.0,3.83,-3.43,-63.77,0.94
2020-07-27,000001,1816.49,1762.73,1817.74,1745.23,1880653,2497551472.0,4.04,-1.81,-32.5,0.97
2020-07-28,000001,1775.23,1775.23,1786.48,1755.23,1217006,1618089552.0,1.77,0.71,12.5,0.63
2020-07-29,000001,1776.48,1800.24,1811.49,1758.98,1519580,2043847472.0,2.96,1.41,25.01,0.78
2020-07-30,000001,1795.23,1778.98,1796.48,1778.98,964068,1294444928.0,0.97,-1.18,-21.26,0.5
2020-07-31,000001,1767.73,1775.23,1798.98,1763.98,1165822,1559068288.0,1.97,-0.21,-3.75,0.6
2020-08-03,000001,1791.48,1806.49,1810.24,1786.48,1445096,1954607264.0,1.34,1.76,31.26,0.74
2020-08-04,000001,1815.24,1862.75,1876.5,1792.73,2445663,3388510064.0,4.64,3.11,56.26,1.26
2020-08-05,000001,1835.24,1827.74,1838.99,1810.24,1440203,1980352976.0,1.54,-1.88,-35.01,0.74
2020-08-06,000001,1835.24,1845.24,1852.74,1813.99,1352511,1868047344.0,2.12,0.96,17.5,0.7
2020-08-07,000001,1832.74,1820.24,1845.24,1810.24,988678,1356305776.0,1.9,-1.35,-25.0,0.51
2020-08-10,000001,1816.49,1851.49,1860.25,1810.24,1587710,2208568320.0,2.75,1.72,31.25,0.82
2020-08-11,000001,1853.99,1874.0,1940.26,1853.99,2603308,3748036832.0,4.66,1.22,22.51,1.34
2020-08-12,000001,1884.0,1905.25,1920.26,1876.5,1596812,2287731088.0,2.34,1.67,31.25,0.82
2020-08-13,000001,1907.75,1880.25,1915.25,1875.25,837262,1190139728.0,2.1,-1.31,-25.0,0.43
2020-08-14,000001,1870.25,1916.5,1921.51,1865.25,1103216,1578543600.0,2.99,1.93,36.25,0.57
2020-08-17,000001,1932.76,2006.52,2026.52,1926.51,3268028,4923669248.0,5.22,4.7,90.02,1.68
2020-08-18,000001,2007.77,2001.52,2020.27,1971.51,1350261,2033477712.0,2.43,-0.25,-5.0,0.7
2020-08-19,000001,1996.52,1995.27,2026.52,1977.77,1420928,2154215104.0,2.44,-0.31,-6.25,0.73
2020-08-20,000001,1984.02,1931.51,2000.27,1924.01,1333802,1962605008.0,3.82,-3.2,-63.76,0.69
