date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-07-16,600036,161.71,159.95,163.78,159.91,1429523,5153628416.0,2.4,-0.63,-1.01,0.69
2020-07-17,600036,161.0,161.83,162.29,158.81,1169918,4182751216.0,2.18,1.18,1.88,0.57
2020-07-20,600036,161.9,166.48,167.18,160.93,1594157,5884589568.0,3.86,2.87,4.65,0.77
2020-07-21,600036,166.48,164.8,167.14,163.55,831621,3062989296.0,2.16,-1.01,-1.68,0.4
2020-07-22,600036,164.56,163.23,165.81,162.53,998812,3656733632.0,1.99,-0.95,-1.57,0.48
2020-07-23,600036,162.22,159.95,163.12,158.58,1197076,4272039760.0,2.78,-2.01,-3.28,0.58
2020-07-24,600036,159.56,156.04,160.73,154.2,1304194,4555965952.0,4.08,-2.44,-3.91,0.63
2020-07-27,600036,157.37,154.67,157.48,153.73,893469,3062209392.0,2.4,-0.88,-1.37,0.43
2020-07-28,600036,156.27,155.96,157.13,154.51,780351,2693238176.0,1.69,0.83,1.29,0.38
2020-07-29,600036,155.65,157.88,158.97,154.59,969131,3381773120.0,2.81,1.23,1.92,0.47
2020-07-30,600036,157.8,155.88,158.27,155.57,798879,2776830176.0,1.71,-1.27,-2.0,0.39
2020-07-31,600036,156.04,156.82,158.97,155.61,989895,3456763744.0,2.16,0.6,0.94,0.48
2020-08-03,600036,158.38,157.6,159.13,156.74,1021858,3573570192.0,1.52,0.5,0.78,0.5
2020-08-04,600036,158.15,164.17,166.01,157.6,2354404,8524612096.0,5.34,4.17,6.57,1.14
2020-08-05,600036,163.08,162.69,164.09,160.77,1060660,3842397072.0,2.02,-0.9,-1.48,0.51
2020-08-06,600036,163.19,165.5,166.71,162.84,1252429,4621511168.0,2.38,1.73,2.81,0.61
2020-08-07,600036,164.95,163.9,164.95,162.29,897954,3286449488.0,1.61,-0.97,-1.6,0.44
2020-08-10,600036,164.25,165.42,167.03,161.08,1224481,4519789824.0,3.63,0.93,1.52,0.59
2020-08-11,600036,166.01,167.53,172.46,166.01,1736383,6622998528.0,3.9,1.28,2.11,0.84
2020-08-12,600036,168.47,168.51,170.35,165.54,930037,3505241808.0,2.87,0.58,0.98,0.45
2020-08-13,600036,168.75,166.71,170.0,166.67,640487,2413002928.0,1.98,-1.07,-1.8,0.31
2020-08-14,600036,166.71,169.33,169.65,166.44,670657,2530430880.0,1.93,1.57,2.62,0.33
2020-08-17,600036,169.57,173.44,175.32,169.57,1483090,5782809856.0,3.4,2.43,4.11,0.72
2020-08-18,600036,173.24,172.66,173.87,171.41,573661,2225879680.0,1.42,-0.45,-0.78,0.28
2020-08-19,600036,172.62,170.7,173.56,170.7,563937,2185921392.0,1.66,-1.14,-1.96,0.27
2020-08-20,600036,170.15,167.46,170.23,165.93,734408,2759025984.0,2.52,-1.9,-3.24,0.36
2020-08-21,600036,169.33,168.43,169.37,167.22,561254,2115951200.0,1.28,0.58,0.97,0.27
2020-08-24,600036,169.65,167.38,170.55,166.87,620989,2346712064.0,2.18,-0.62,-1.05,0.3
2020-08-25,600036,168.55,167.69,170.11,167.06,545246,2056714032.0,1.82,0.19,0.31,0.26
2020-08-26,600036,168.16,166.32,168.9,165.46,627000,2344833008.0,2.05,-0.82,-1.37,0.3
2020-08-27,600036,166.32,165.03,166.56,163.12,574815,2112135808.0,2.07,-0.78,-1.29,0.28
2020-08-28,600036,164.84,171.09,171.09,163.86,1182942,4472784896.0,4.38,3.67,6.06,0.57
2020-08-31,600036,171.29,168.12,173.24,167.57,1190314,4573760768.0,3.31,-1.74,-2.97,0.58
2020-09-01,600036,167.22,167.06,168.16,165.46,712759,2662847632.0,1.61,-0.63,-1.06,0.35
2020-09-02,600036,167.34,166.2,167.69,164.64,797221,2960833712.0,1.83,-0.51,-0.86,0.39
2020-09-03,600036,165.89,165.34,167.1,164.48,640480,2369898816.0,1.58,-0.52,-0.86,0.31
2020-09-04,600036,163.98,164.64,164.99,162.88,485437,1780424304.0,1.28,-0.42,-0.7,0.24
2020-09-07,600036,164.64,164.6,167.69,164.21,616139,2285992288.0,2.11,-0.02,-0.04,0.3
2020-09-08,600036,166.13,167.73,167.85,165.5,683545,2558811216.0,1.43,1.9,3.13,0.33
2020-09-09,600036,166.48,167.77,169.14,166.05,605433,2276406656.0,1.84,0.02,0.04,0.29
2020-09-10,600036,168.86,168.16,168.98,166.87,550146,2072364496.0,1.26,0.23,0.39,0.27
2020-09-11,600036,168.82,166.36,168.86,165.5,553105,2064258656.0,2.0,-1.07,-1.8,0.27
2020-09-14,600036,166.99,166.79,167.69,165.7,460240,1713839184.0,1.2,0.26,0.43,0.22
2020-09-15,600036,166.44,168.94,169.68,166.32,530805,2003397792.0,2.01,1.29,2.15,0.26
2020-09-16,600036,169.18,169.57,170.51,168.47,478875,1822671344.0,1.21,0.37,0.63,0.23
2020-09-17,600036,169.72,168.82,171.17,168.75,557714,2127941232.0,1.43,-0.44,-0.75,0.27
2020-09-18,600036,168.75,173.2,173.2,168.55,1081692,4177287392.0,2.75,2.59,4.38,0.52
2020-09-21,600036,173.24,171.68,173.75,171.68,501521,1945258032.0,1.2,-0.88,-1.52,0.24
2020-09-22,600036,171.29,168.86,171.68,168.32,583117,2223417616.0,1.96,-1.64,-2.82,0.28
2020-09-23,600036,168.63,167.38,169.53,166.99,430760,1621415680.0,1.5,-0.88,-1.48,0.21
2020-09-24,600036,166.79,165.66,166.79,165.03,540280,2003636080.0,1.05,-1.03,-1.72,0.26
2020-09-25,600036,165.81,166.13,166.99,165.74,352252,1312142064.0,0.75,0.28,0.47,0.17
2020-09-28,600036,166.2,166.4,167.96,165.62,353245,1317478208.0,1.41,0.16,0.27,0.17
2020-09-29,600036,166.79,162.72,167.18,162.57,796689,2920847328.0,2.77,-2.21,-3.68,0.39
2020-09-30,600036,162.69,161.51,163.74,160.73,654661,2365489200.0,1.85,-0.74,-1.21,0.32
2020-10-09,600036,163.08,162.22,164.64,162.02,494724,1799276672.0,1.62,0.44,0.71,0.24
2020-10-12,600036,163.08,167.61,167.96,162.69,998646,3712613344.0,3.25,3.32,5.39,0.48
2020-10-13,600036,167.3,168.51,169.37,165.93,511416,1928053920.0,2.05,0.54,0.9,0.25
2020-10-14,600036,168.55,169.53,169.72,166.95,642940,2431581136.0,1.64,0.61,1.02,0.31
2020-10-15,600036,169.88,173.28,174.14,169.53,1196657,4656771584.0,2.72,2.21,3.75,0.58
2020-10-16,600036,172.89,176.29,177.94,172.77,1105896,4401811712.0,2.98,1.74,3.01,0.54
2020-10-19,600036,178.29,177.11,183.21,176.72,981547,3988837840.0,3.68,0.47,0.82,0.48
2020-10-20,600036,177.15,177.04,178.37,175.98,424368,1697045440.0,1.35,-0.04,-0.07,0.21
2020-10-21,600036,177.39,180.28,180.56,177.11,541856,2193121568.0,1.95,1.83,3.24,0.26
2020-10-22,600036,181.06,181.81,184.97,178.44,644975,2649384832.0,3.62,0.85,1.53,0.31
2020-10-23,600036,180.71,181.92,185.36,180.52,551834,2298420656.0,2.66,0.06,0.11,0.27
