date,open,high,low,close,volume
2020-04-27,2190.96,2208.32,2157.65,2193.93,159342
2020-04-28,2245.54,2327.17,2222.24,2292.45,420773
2020-04-29,2292.45,2310.44,2214.26,2237.72,291832
2020-04-30,2237.72,2295.58,2214.57,2241.94,228641
2020-05-06,2222.08,2293.23,2213.95,2280.1,251045
2020-05-07,2282.76,2339.37,2266.96,2337.96,277962
2020-05-08,2349.53,2394.1,2322.63,2353.44,243267
2020-05-11,2358.45,2387.85,2323.73,2337.02,236820
2020-05-12,2323.73,2367.36,2322.01,2353.44,151845
2020-05-13,2353.44,2405.21,2344.06,2401.92,196350
2020-05-14,2400.36,2417.56,2376.9,2406.61,153613
2020-05-15,2425.38,2433.04,2371.9,2389.72,160644
2020-05-18,2386.28,2502.94,2380.03,2483.08,248810
2020-05-19,2516.55,2519.05,2470.26,2486.68,176506
2020-05-20,2503.57,2511.08,2472.45,2477.77,170412
2020-05-21,2493.56,2519.68,2480.58,2490.75,170922
2020-05-22,2476.36,2476.67,2365.17,2374.55,383526
2020-05-25,2370.8,2423.81,2325.29,2418.03,243560
2020-05-26,2418.03,2450.71,2404.27,2430.23,165119
2020-05-27,2430.38,2439.45,2396.92,2404.42,145963
2020-05-28,2404.27,2433.51,2378.46,2404.42,148184
2020-05-29,2386.28,2442.42,2383.62,2436.33,163217
2020-06-01,2465.41,2623.67,2465.41,2598.81,357844
2020-06-02,2595.68,2677.94,2589.89,2601.62,291586
2020-06-03,2634.31,2648.38,2568.94,2593.33,252759
2020-06-04,2590.05,2620.54,2573.94,2602.87,136318
2020-06-05,2606.94,2631.49,2583.33,2622.26,159859
2020-06-08,2613.04,2698.27,2609.91,2630.4,222551
2020-06-09,2629.93,2667.77,2605.38,2661.67,161119
2020-06-10,2662.3,2679.97,2637.75,2660.58,149481
2020-06-11,2649.01,2663.71,2588.8,2621.95,199461
2020-06-12,2573.94,2650.26,2559.87,2644.31,176476
2020-06-15,2605.22,2634.62,2566.12,2573.94,266220
2020-06-16,2575.51,2609.29,2564.56,2584.58,259847
2020-06-17,2578.01,2581.76,2525.46,2556.43,232423
2020-06-18,2567.69,2598.65,2557.68,2595.21,199490
2020-06-19,2597.4,2722.51,2596.31,2707.96,387028
2020-06-22,2717.82,2717.82,2670.9,2702.18,216312
2020-06-23,2702.18,2786.62,2687.79,2780.06,265325
2020-06-24,2786.78,2831.97,2764.73,2789.91,187986
2020-06-29,2758.63,2788.19,2745.96,2772.55,199936
2020-06-30,2788.81,2837.76,2788.19,2829.16,189898
2020-07-01,2829.16,3047.78,2829.16,2998.99,271818
2020-07-02,2968.03,3161.0,2966.15,3116.44,348870
2020-07-03,3124.25,3132.23,3007.12,3104.39,308159
2020-07-06,3104.24,3218.24,3054.98,3168.51,328431
2020-07-07,3167.89,3380.57,3129.42,3310.35,384111
2020-07-08,3304.25,3371.5,3265.16,3333.34,292323
2020-07-09,3333.81,3364.62,3304.25,3338.97,295243
2020-07-10,3327.71,3465.33,3293.31,3390.26,335476
2020-07-13,3390.26,3671.75,3390.26,3565.41,488807
2020-07-14,3566.98,3676.91,3468.92,3607.64,438733
2020-07-15,3577.92,3687.39,3556.03,3655.33,371700
2020-07-16,3609.2,3609.98,3305.19,3305.19,705737
2020-07-17,3202.6,3432.49,3202.6,3365.08,529767
2020-07-20,3366.81,3413.72,3140.21,3307.07,442907
2020-07-21,3296.43,3419.98,3262.03,3368.06,317859
2020-07-22,3347.26,3482.06,3323.8,3419.98,280663
2020-07-23,3394.95,3466.89,3368.37,3438.27,265413
2020-07-24,3405.9,3420.76,3249.52,3302.53,405386
2020-07-27,3333.81,3387.13,3302.84,3344.91,246347
2020-07-28,3372.9,3545.71,3353.83,3499.73,384497
2020-07-29,3505.2,3522.88,3421.7,3515.06,301364
2020-07-30,3499.73,3563.07,3484.09,3536.01,253226
2020-07-31,3538.98,3609.36,3504.11,3554.46,262318
2020-08-03,3565.1,3592.47,3518.5,3557.91,201454
2020-08-04,3554.46,3590.43,3499.73,3527.88,206769
2020-08-05,3524.75,3558.53,3484.09,3554.15,186712
2020-08-06,3554.15,3570.73,3431.86,3453.13,323044
2020-08-07,3437.18,3484.09,3330.52,3394.33,287236
2020-08-10,3394.33,3419.66,3326.77,3373.69,191521
